"Informazioni cronologiche","1)	Sei interessato/a al tema della mobilità elettrica?","2)	Hai la patente?","3)	Quante auto possiede la tua famiglia?","4)	Quante auto possiedi tu?","5)	Considerando il totale, quante di queste hanno classe di emissione Euro 3 (immatricolata prima del 01/01/2006)?","6)	Considerando il totale, quante di queste hanno classe di emissione Euro 4 (immatricolata prima del 01/01/2011)?","7)	Considerando il totale, quante di queste hanno classe di emissione Euro 5 (immatricolata prima del 01/01/2015)?","8)	Considerando il totale, quante di queste hanno classe di emissione Euro 6 (immatricolata dopo del 01/01/2015)?","9)	Considerando il totale, quante di queste sono alimentate solo a Benzina?","10)	Considerando il totale, quante di queste sono alimentate solo a Diesel?","11)	Considerando il totale, quante di queste sono alimentate solo a Metano o GPL?","12)	Considerando il totale, quante di queste sono Ibride/Elettriche?","13)	In una scala da 1 (molto raramente) a 5 (molto spesso), quanto spesso utilizzi l’automobile per spostarti?","14)	Quale è il principale motivo per cui usi l’automobile?","15)	Quanti Km percorri in media in un anno?","16)	In una scala da 1 (molto raramente = più di 10 anni) a 5 (molto spesso = ogni 1-2 anni), quanto spesso cambi automobile?","17)	Quanto sei disposto a pagare per un’auto nuova?","18)	Dal momento che tu possiedi un’auto Ibrida/Elettrica, è aziendale o privata?","19)	Qual è la sua autonomia in termini di km?","20)	In una scala da 1 (molto raramente) a 5 (molto spesso), quanto spesso ricarichi la batteria dell’auto?","21)	Dove ricarichi la batteria principalmente?","22)	Per quanto riguarda gli aspetti legati alla componente elettrica della tua automobile (Es: autonomia, performance, ricarica…), ti ritieni soddisfatto dell’acquisto?","23)	In una scala da 1 (per nulla importante) a 5 (molto importante), quanto è importante il fattore della SOSTENIBILITÀ AMBIENTALE nella scelta dell’auto da acquistare?","24)	In una scala da 1 (per nulla) a 5 (molto), quanto incide attualmente il PREZZO sulla scelta di acquistare un’auto elettrica/ibrida?","25)	In una scala da 1 (per nulla) a 5 (molto), quanto incide attualmente la disponibilità di PUNTI DI RICARICA pubblici per la batteria sulla scelta di acquistare un’auto elettrica/ibrida?","26)	In una scala da 1 (per nulla) a 5 (molto), quanto incide attualmente la presenza di INCENTIVI statali o regionali sulla scelta di acquistare un’auto elettrica/ibrida?","27)	In una scala da 1 (per nulla) a 5 (molto), quanto incide il RISPARMIO CHE SI HA SUL CARBURANTE sulla scelta di acquistare un’auto elettrica/ibrida?","28)	Considerando che attualmente l’autonomia media delle batterie per le auto elettriche è sui 250 Km, in una scala da 1 (per nulla) a 5 (molto), quanto è sufficiente date le tue esigenze?","29)	Attualmente il costo delle auto elettriche è in media superiore a quello delle auto tradizionali. In una scala da 1 (per nulla propenso) a 5 (molto propenso), quanto saresti propenso a pagare un prezzo più alto per un’automobile nella sua versione ibrida/elettrica?","30)	Si stima che per il 2025, grazie anche al calo dei costi di produzione delle batterie, il divario di prezzo tra le auto ibride/elettriche e quelle tradizionali sarà minimo. In una scala da 1 (per nulla) a 5 (molto), quanto favorirebbe l’acquisto di un’auto elettrica?","31)	Il numero di punti di ricarica è in una fase di forte crescita, in una scala da 1 (per nulla) a 5 (molto), quanto contribuisce all’acquisto di un’auto elettrica nei prossimi anni?","32)	In quale regione vivi?","33)	In quale provincia vivi?","34)	Dove vivi?","35)	In una scala da 1 (per nulla necessario) a 5 (molto necessario), quanto ritieni necessario il trasporto pubblico per i tuoi spostamenti abituali?","36)	Disponi di pannelli fotovoltaici nella tua abitazione?","37)	In una scala da 1 (per nulla propenso) a 5 (molto propenso), quanto saresti propenso ad acquistare un’auto elettrica/ibrida pur NON AVENDO pannelli fotovoltaici nella tua abitazione?","38)	In una scala da 1 (per nulla propenso) a 5 (molto propenso), quanto saresti propenso ad acquistare un’auto elettrica/ibrida AVENDO pannelli fotovoltaici nella tua abitazione che consentirebbero una ricarica a costo zero?","39)	Hai un garage/parcheggio privato per l’automobile?","40)	Ipotizzando di avere un’auto elettrica/ibrida ed un garage/parcheggio privato, in una scala da 1 (per nulla propenso) a 5 (molto propenso), quanto saresti propenso ad investire nell’installazione di una colonnina di ricarica privata?","41)	Quale è il numero di componenti della tua famiglia?","42)	Quale è la tua fascia di età?","43)	Quale è il tuo genere?","44)	Quale è la tua professione?"
"2021/08/13 9:55:00 AM EET","Si","Si","2","1","2","2","2","1","1","0","1","0","4","Lavoro o Studio","Tra 10.000 e 20.000 Km","2","10.000€ -  20.000€","","","","","","5","4","5","5","5","3","4","5","5","Toscana","Prato","Centro Città","5","No","3","5","Si","5","3","25 - 50","Maschio","Impiegata/o"
"2021/08/13 10:21:38 AM EET","Si","Si","2","1","1","0","0","1","2","0","0","0","5","Lavoro o Studio","Più di 20.000 Km","2","Fino a 10.000€","","","","","","2","5","5","5","3","2","3","5","4","Toscana","Firenze","Periferia Città","2","No","3","5","Si","4","5","50 - 75","Maschio","Impiegata/o"
"2021/08/13 10:54:25 AM EET","Si","Si","1","0","0","0","1","0","1","0","1","0","5","Spostamenti generici (Es: supermercato, ecc..)","Più di 20.000 Km","2","10.000€ -  20.000€","","","","","","4","4","2","4","5","3","4","5","3","Lazio","Viterbo","Fuori Città (frazioni o comuni limitrofi)","1","Si","2","5","No","5","3","25 - 50","Femmina","Agricoltore / Commerciante / Artigiano"
"2021/08/13 11:07:34 AM EET","Si","Si","2","2","0","1","1","0","0","2","0","0","5","Spostamenti generici (Es: supermercato, ecc..)","Tra 10.000 e 20.000 Km","1","20.000€ - 30.000€","","","","","","3","4","4","5","4","2","4","5","5","Umbria","Perugia","Periferia Città","1","No","4","5","No","2","4","25 - 50","Maschio","Impiegata/o"
"2021/08/13 11:23:36 AM EET","Si","Si","Più di 3","1","0","2","1","1","1","3","0","0","5","Lavoro o Studio","Più di 20.000 Km","2","10.000€ -  20.000€","","","","","","4","3","5","3","4","2","2","4","4","Calabria","Catanzaro","Centro Città","4","No","2","4","No","5","4","25 - 50","Femmina","Impiegata/o"
"2021/08/13 11:43:46 AM EET","Si","Si","3","1","1","2","2","1","1","2","0","0","4","Spostamenti generici (Es: supermercato, ecc..)","Meno di 10.000 Km","2","Fino a 10.000€","","","","","","4","4","5","4","3","4","3","4","4","Umbria","Terni","Fuori Città (frazioni o comuni limitrofi)","2","No","3","4","Si","3","4","18 - 25","Femmina","Studentessa/ente"
"2021/08/13 12:19:47 PM EET","Si","Si","3","0","1","2","0","0","1","2","0","0","5","Lavoro o Studio","Meno di 10.000 Km","2","Fino a 10.000€","","","","","","3","4","5","4","4","4","3","4","4","Umbria","Terni","Periferia Città","1","Si","2","5","Si","5","3","25 - 50","Femmina","Impiegata/o"
"2021/08/13 12:45:29 PM EET","Si","Si","Più di 3","0","1","1","1","1","2","2","0","0","3","Lavoro o Studio","Meno di 10.000 Km","3","Fino a 10.000€","","","","","","4","2","3","3","4","4","4","3","4","Lazio","Roma","Centro Città","3","No","4","4","Si","5","3","25 - 50","Maschio","Imprenditore / Libero Professionista"
"2021/08/13 1:20:27 PM EET","Si","No","3","0","0","0","1","2","0","3","0","Più di 3","4","Svago","Meno di 10.000 Km","1","10.000€ -  20.000€","Aziendale","100Km - 200Km","3","Colonnina Privata","Si","5","4","5","4","4","4","5","5","5","Lazio","Roma","Centro Città","5","No","5","5","No","4","4","25 - 50","Femmina","Impiegata/o"
"2021/08/13 2:53:32 PM EET","Si","Si","2","2","1","0","0","1","1","1","0","0","5","Lavoro o Studio","Più di 20.000 Km","3","20.000€ - 30.000€","","","","","","3","5","5","3","3","2","1","3","5","Toscana","Pistoia","Centro Città","4","No","2","3","Si","3","1","50 - 75","Maschio","Impiegata/o"
"2021/08/14 2:24:14 PM EET","Si","Si","2","0","1","1","0","0","1","1","0","0","3","Spostamenti generici (Es: supermercato, ecc..)","Meno di 10.000 Km","2","10.000€ -  20.000€","","","","","","5","5","3","5","5","4","2","4","4","Umbria","Terni","Centro Città","2","No","3","5","Si","3","3","25 - 50","Maschio","Studentessa/ente"
"2021/08/14 3:41:36 PM EET","Si","Si","1","1","0","0","0","1","0","1","0","0","5","Spostamenti generici (Es: supermercato, ecc..)","Tra 10.000 e 20.000 Km","1","20.000€ - 30.000€","","","","","","5","5","5","5","3","1","1","3","2","Toscana","Firenze","Fuori Città (frazioni o comuni limitrofi)","5","No","2","5","Si","3","5","50 - 75","Maschio","Impiegata/o"
"2021/08/14 8:53:04 PM EET","Si","Si","3","1","0","0","3","0","1","2","0","0","5","Spostamenti generici (Es: supermercato, ecc..)","Tra 10.000 e 20.000 Km","1","20.000€ - 30.000€","","","","","","1","4","2","5","4","2","3","5","4","Umbria","Terni","Periferia Città","1","No","5","5","Si","4","3","18 - 25","Maschio","Studentessa/ente"
"2021/08/14 10:19:17 PM EET","Si","Si","Più di 3","1","0","0","1","Più di 3","2","1","0","1","5","Svago","Tra 10.000 e 20.000 Km","3","20.000€ - 30.000€","Privata","100Km - 200Km","5","Colonnina Privata","Si","5","4","5","5","2","4","2","5","5","Lazio","Roma","Periferia Città","1","No","5","5","Si","5","4","25 - 50","Femmina","Impiegata/o"
"2021/08/15 11:52:03 AM EET","Si","Si","3","0","0","0","1","2","1","2","0","0","4","Spostamenti generici (Es: supermercato, ecc..)","Tra 10.000 e 20.000 Km","3","10.000€ -  20.000€","","","","","","4","4","5","5","5","3","3","5","5","Toscana","Prato","Centro Città","2","No","3","5","Si","3","5","18 - 25","Femmina","Studentessa/ente"
"2021/08/16 10:05:04 AM EET","Si","Si","2","1","0","0","1","1","2","0","0","0","3","Lavoro o Studio","Meno di 10.000 Km","1","10.000€ -  20.000€","","","","","","4","5","5","5","4","2","2","3","3","Toscana","Pisa","Fuori Città (frazioni o comuni limitrofi)","1","No","2","3","No","2","3","50 - 75","Maschio","Impiegata/o"
"2021/08/16 10:14:42 AM EET","Si","Si","2","0","0","0","1","1","0","1","1","0","3","Lavoro o Studio","Più di 20.000 Km","2","10.000€ -  20.000€","","","","","","4","4","5","5","5","3","4","5","5","Toscana","Pisa","Fuori Città (frazioni o comuni limitrofi)","2","No","3","5","Si","5","4","25 - 50","Femmina","Studentessa/ente"
"2021/08/16 11:50:32 AM EET","Si","Si","2","0","1","0","0","1","1","1","0","0","4","Spostamenti generici (Es: supermercato, ecc..)","Meno di 10.000 Km","2","10.000€ -  20.000€","","","","","","5","5","3","4","5","4","3","5","3","Toscana","Siena","Fuori Città (frazioni o comuni limitrofi)","3","No","4","5","Si","2","5","18 - 25","Maschio","Studentessa/ente"
"2021/08/16 2:05:04 PM EET","Si","Si","3","1","0","0","2","1","3","0","0","0","5","Spostamenti generici (Es: supermercato, ecc..)","Tra 10.000 e 20.000 Km","1","10.000€ -  20.000€","","","","","","3","5","5","3","4","3","2","3","5","Toscana","Siena","Centro Città","2","No","2","2","Si","4","3","18 - 25","Maschio","Studentessa/ente"
"2021/08/16 2:29:10 PM EET","Si","Si","2","2","0","0","1","1","1","1","0","0","4","Spostamenti generici (Es: supermercato, ecc..)","Tra 10.000 e 20.000 Km","3","20.000€ - 30.000€","","","","","","4","3","5","4","3","2","3","3","4","Toscana","Firenze","Periferia Città","3","No","3","3","Si","4","4","50 - 75","Maschio","Impiegata/o"
"2021/08/16 2:41:52 PM EET","Si","Si","2","0","0","0","0","2","1","1","1","0","3","Svago","Tra 10.000 e 20.000 Km","3","10.000€ -  20.000€","","","","","","4","4","5","5","4","2","3","5","4","Toscana","Pisa","Periferia Città","2","No","4","4","Si","3","2","50 - 75","Maschio","Impiegata/o"
"2021/08/16 4:00:09 PM EET","Si","Si","1","1","0","0","0","1","0","1","0","0","5","Lavoro o Studio","Più di 20.000 Km","3","Più di 30.000€","","","","","","3","3","5","4","3","2","3","4","5","Umbria","Perugia","Fuori Città (frazioni o comuni limitrofi)","2","No","2","4","Si","3","1","50 - 75","Maschio","Impiegata/o"
"2021/08/16 7:19:45 PM EET","No","Si","2","0","0","2","0","0","0","1","1","0","3","Svago","Meno di 10.000 Km","2","20.000€ - 30.000€","","","","","","4","3","5","5","5","1","4","3","5","Umbria","Terni","Fuori Città (frazioni o comuni limitrofi)","4","Si","5","5","Si","4","5","18 - 25","Femmina","Studentessa/ente"
"2021/08/16 7:25:44 PM EET","Si","Si","Più di 3","1","1","Più di 3","0","0","1","2","2","0","5","Lavoro o Studio","Tra 10.000 e 20.000 Km","2","10.000€ -  20.000€","","","","","","3","5","3","5","3","3","2","4","4","Umbria","Terni","Fuori Città (frazioni o comuni limitrofi)","2","No","5","5","Si","4","4","25 - 50","Maschio","Operaia/o"
"2021/08/16 7:25:59 PM EET","Si","Si","3","1","1","1","1","1","1","0","2","0","4","Svago","Meno di 10.000 Km","2","10.000€ -  20.000€","","","","","","3","4","3","3","4","3","4","4","4","Umbria","Terni","Fuori Città (frazioni o comuni limitrofi)","3","No","3","5","Si","3","4","18 - 25","Femmina","Operaia/o"
"2021/08/16 7:40:00 PM EET","Si","Si","2","1","0","1","0","1","0","2","0","0","4","Spostamenti generici (Es: supermercato, ecc..)","Meno di 10.000 Km","1","10.000€ -  20.000€","","","","","","4","4","4","5","5","3","4","4","5","Umbria","Terni","Centro Città","1","No","3","3","No","4","3","25 - 50","Femmina","Studentessa/ente"
"2021/08/16 7:45:17 PM EET","Si","Si","3","1","1","1","1","0","1","1","1","0","5","Spostamenti generici (Es: supermercato, ecc..)","Tra 10.000 e 20.000 Km","1","20.000€ - 30.000€","","","","","","2","4","4","3","5","4","3","5","4","Umbria","Terni","Fuori Città (frazioni o comuni limitrofi)","2","Si","3","3","Si","4","4","25 - 50","Maschio","Studentessa/ente"
"2021/08/16 7:49:28 PM EET","Si","Si","2","0","0","0","1","1","2","0","0","0","2","Spostamenti generici (Es: supermercato, ecc..)","Meno di 10.000 Km","1","Più di 30.000€","","","","","","5","3","5","4","4","2","3","3","3","Umbria","Terni","Centro Città","4","No","3","5","No","5","4","25 - 50","Femmina","Imprenditore / Libero Professionista"
"2021/08/16 7:55:22 PM EET","Si","Si","1","1","0","0","0","1","1","0","0","0","2","Spostamenti generici (Es: supermercato, ecc..)","Tra 10.000 e 20.000 Km","3","20.000€ - 30.000€","","","","","","5","5","5","3","3","4","2","5","5","Umbria","Terni","Centro Città","1","No","3","3","Si","1","2","25 - 50","Maschio","Imprenditore / Libero Professionista"
"2021/08/16 8:14:28 PM EET","Si","No","2","0","0","1","0","0","1","0","1","0","5","Spostamenti generici (Es: supermercato, ecc..)","Tra 10.000 e 20.000 Km","1","Fino a 10.000€","","","","","","5","5","5","5","5","5","5","5","5","Umbria","Terni","Periferia Città","5","Si","3","5","Si","5","4","18 - 25","Femmina","Impiegata/o"
"2021/08/16 8:55:25 PM EET","Si","Si","3","1","1","0","1","1","1","2","0","0","5","Spostamenti generici (Es: supermercato, ecc..)","Più di 20.000 Km","1","20.000€ - 30.000€","","","","","","5","4","4","5","5","1","1","3","3","Umbria","Perugia","Fuori Città (frazioni o comuni limitrofi)","2","No","2","3","Si","4","4","18 - 25","Maschio","Studentessa/ente"
"2021/08/16 9:45:31 PM EET","Si","Si","2","1","0","0","2","0","1","1","0","0","5","Lavoro o Studio","Più di 20.000 Km","4","20.000€ - 30.000€","","","","","","3","5","5","4","3","2","3","5","4","Umbria","Perugia","Fuori Città (frazioni o comuni limitrofi)","1","Si","5","5","Si","4","4","50 - 75","Maschio","Impiegata/o"
"2021/08/16 9:46:22 PM EET","Si","Si","1","0","1","1","1","0","0","1","0","0","2","Viaggio","Meno di 10.000 Km","1","Fino a 10.000€","","","","","","5","5","5","1","5","1","1","3","5","Umbria","Terni","Centro Città","1","No","5","5","Si","5","3","50 - 75","Femmina","Pensionata/o"
"2021/08/16 9:47:16 PM EET","Si","Si","2","0","1","1","0","0","1","1","0","0","2","Spostamenti generici (Es: supermercato, ecc..)","Tra 10.000 e 20.000 Km","1","10.000€ -  20.000€","","","","","","4","5","4","5","5","4","2","4","4","Umbria","Terni","Centro Città","1","No","4","4","Si","4","3","25 - 50","Maschio","Agricoltore / Commerciante / Artigiano"
"2021/08/16 9:48:35 PM EET","Si","Si","2","2","1","0","1","0","1","1","0","0","3","Spostamenti generici (Es: supermercato, ecc..)","Tra 10.000 e 20.000 Km","1","10.000€ -  20.000€","","","","","","5","5","4","4","4","4","3","5","4","Umbria","Terni","Centro Città","1","No","4","4","Si","4","3","50 - 75","Maschio","Impiegata/o"
"2021/08/16 9:49:43 PM EET","No","Si","2","2","0","0","0","2","1","1","0","0","4","Lavoro o Studio","Tra 10.000 e 20.000 Km","3","Più di 30.000€","","","","","","4","3","5","3","3","3","3","3","3","Lazio","Viterbo","Centro Città","2","No","1","3","Si","3","3","25 - 50","Maschio","Imprenditore / Libero Professionista"
"2021/08/16 9:51:49 PM EET","Si","Si","2","1","1","0","0","0","1","1","0","0","5","Lavoro o Studio","Più di 20.000 Km","4","10.000€ -  20.000€","","","","","","3","3","5","4","4","2","3","3","5","Umbria","Terni","Fuori Città (frazioni o comuni limitrofi)","1","No","2","2","No","3","2","25 - 50","Maschio","Impiegata/o"
"2021/08/16 9:53:36 PM EET","Si","Si","1","1","0","1","0","0","0","0","1","0","3","Spostamenti generici (Es: supermercato, ecc..)","Tra 10.000 e 20.000 Km","1","10.000€ -  20.000€","","","","","","5","4","4","4","5","4","4","4","5","Umbria","Terni","Periferia Città","3","No","3","4","Si","3","2","50 - 75","Femmina","Pensionata/o"
"2021/08/16 10:15:06 PM EET","Si","Si","2","1","0","1","1","0","1","1","0","0","3","Viaggio","Tra 10.000 e 20.000 Km","3","Più di 30.000€","","","","","","5","3","5","3","3","1","1","4","4","Umbria","Terni","Periferia Città","3","Si","3","3","Si","4","3","50 - 75","Maschio","Pensionata/o"
"2021/08/17 12:15:26 AM EET","Si","Si","1","1","0","0","1","0","0","0","1","0","4","Lavoro o Studio","Tra 10.000 e 20.000 Km","1","10.000€ -  20.000€","","","","","","3","5","2","5","5","2","2","5","5","Umbria","Terni","Centro Città","3","No","5","5","Si","1","2","50 - 75","Maschio","Operaia/o"
"2021/08/17 10:35:41 AM EET","Si","Si","3","1","1","2","0","0","3","0","0","0","3","Spostamenti generici (Es: supermercato, ecc..)","Meno di 10.000 Km","1","10.000€ -  20.000€","","","","","","4","4","4","4","4","5","4","5","5","Umbria","Perugia","Periferia Città","1","Si","5","5","Si","5","4","25 - 50","Femmina","Impiegata/o"
"2021/08/17 10:47:58 AM EET","Si","Si","3","1","0","2","1","0","2","1","0","0","3","Spostamenti generici (Es: supermercato, ecc..)","Meno di 10.000 Km","2","10.000€ -  20.000€","","","","","","4","4","5","5","5","5","3","5","5","Umbria","Terni","Centro Città","1","No","3","5","Si","2","4","50 - 75","Femmina","Pensionata/o"
"2021/08/17 11:17:17 AM EET","Si","Si","2","1","0","0","1","1","1","1","0","0","5","Lavoro o Studio","Più di 20.000 Km","4","10.000€ -  20.000€","","","","","","3","4","5","5","5","1","2","5","5","Umbria","Terni","Centro Città","2","No","2","4","No","4","1","50 - 75","Femmina","Dirigente"
"2021/08/17 11:23:24 AM EET","Si","Si","1","1","0","0","0","1","0","1","0","0","4","Lavoro o Studio","Tra 10.000 e 20.000 Km","1","10.000€ -  20.000€","","","","","","5","3","4","4","5","4","3","5","5","Umbria","Terni","Centro Città","5","No","4","5","Si","4","1","50 - 75","Femmina","Impiegata/o"
"2021/08/17 11:29:48 AM EET","No","Si","3","1","0","2","0","1","1","1","0","1","4","Spostamenti generici (Es: supermercato, ecc..)","Meno di 10.000 Km","1","Fino a 10.000€","Aziendale","200Km - 400Km","1","Colonnina Pubblica","Si","4","4","3","4","5","5","3","5","4","Umbria","Terni","Fuori Città (frazioni o comuni limitrofi)","3","Si","4","5","Si","3","4","18 - 25","Femmina","Studentessa/ente"
"2021/08/17 11:31:52 AM EET","Si","Si","2","0","0","0","1","1","1","1","0","0","3","Spostamenti generici (Es: supermercato, ecc..)","Meno di 10.000 Km","1","20.000€ - 30.000€","","","","","","3","4","5","3","4","4","3","5","5","Lazio","Rieti","Fuori Città (frazioni o comuni limitrofi)","2","No","3","5","Si","2","4","18 - 25","Femmina","Studentessa/ente"
"2021/08/17 11:32:24 AM EET","Si","Si","3","1","1","1","0","1","0","1","2","0","5","Lavoro o Studio","Tra 10.000 e 20.000 Km","1","10.000€ -  20.000€","","","","","","4","4","4","3","4","3","1","4","4","Umbria","Terni","Fuori Città (frazioni o comuni limitrofi)","4","No","2","2","Si","2","4","50 - 75","Femmina","Casalinga/o"
"2021/08/17 11:47:04 AM EET","Si","Si","Più di 3","1","2","2","0","0","2","2","0","0","2","Lavoro o Studio","Meno di 10.000 Km","1","10.000€ -  20.000€","","","","","","5","3","4","4","4","4","3","5","4","Umbria","Terni","Centro Città","2","No","5","5","No","4","4","18 - 25","Femmina","Studentessa/ente"
"2021/08/17 11:55:55 AM EET","Si","Si","2","0","2","1","1","1","0","1","1","0","3","Spostamenti generici (Es: supermercato, ecc..)","Meno di 10.000 Km","2","Fino a 10.000€","","","","","","4","4","4","2","4","5","4","5","4","Umbria","Terni","Centro Città","5","No","4","5","No","4","Più di 5","18 - 25","Maschio","Studentessa/ente"
"2021/08/17 12:00:13 PM EET","Si","Si","2","0","0","0","1","0","0","1","1","0","2","Lavoro o Studio","Meno di 10.000 Km","1","Fino a 10.000€","","","","","","5","4","4","4","4","5","4","4","4","Umbria","Terni","Periferia Città","3","No","3","4","Si","3","3","18 - 25","Femmina","Studentessa/ente"
"2021/08/17 12:01:34 PM EET","Si","Si","Più di 3","1","2","1","0","1","2","3","0","0","2","Spostamenti generici (Es: supermercato, ecc..)","Meno di 10.000 Km","1","10.000€ -  20.000€","","","","","","4","5","5","3","3","3","3","5","5","Umbria","Terni","Centro Città","5","No","5","5","Si","5","4","18 - 25","Maschio","Impiegata/o"
"2021/08/17 12:07:24 PM EET","Si","Si","2","0","0","0","1","1","0","1","1","0","5","Spostamenti generici (Es: supermercato, ecc..)","Meno di 10.000 Km","2","Fino a 10.000€","","","","","","5","4","5","5","5","4","3","5","5","Umbria","Terni","Fuori Città (frazioni o comuni limitrofi)","5","No","4","5","No","5","Più di 5","18 - 25","Femmina","Studentessa/ente"
"2021/08/17 12:13:33 PM EET","Si","Si","2","1","0","0","1","1","1","0","1","0","4","Spostamenti generici (Es: supermercato, ecc..)","Tra 10.000 e 20.000 Km","2","10.000€ -  20.000€","","","","","","5","4","5","3","4","3","2","5","4","Umbria","Terni","Fuori Città (frazioni o comuni limitrofi)","4","No","2","5","No","3","3","18 - 25","Femmina","Studentessa/ente"
"2021/08/17 12:18:05 PM EET","Si","Si","2","1","0","1","0","1","0","2","0","0","4","Lavoro o Studio","Tra 10.000 e 20.000 Km","3","10.000€ -  20.000€","","","","","","5","5","5","3","5","2","3","5","5","Umbria","Terni","Centro Città","1","No","4","5","No","5","3","50 - 75","Femmina","Imprenditore / Libero Professionista"
"2021/08/17 12:18:18 PM EET","Si","Si","1","1","0","0","0","1","0","1","0","0","5","Lavoro o Studio","Tra 10.000 e 20.000 Km","2","10.000€ -  20.000€","","","","","","4","5","5","5","5","5","3","5","5","Umbria","Terni","Periferia Città","1","No","4","5","Si","2","1","50 - 75","Femmina","Dirigente"
"2021/08/17 12:26:04 PM EET","Si","Si","2","1","0","0","0","2","2","0","0","1","1","Spostamenti generici (Es: supermercato, ecc..)","Meno di 10.000 Km","1","Fino a 10.000€","Privata","200Km - 400Km","3","Colonnina Pubblica","No","5","3","5","4","5","2","1","4","4","Umbria","Terni","Centro Città","1","No","4","5","Si","3","2","50 - 75","Femmina","Casalinga/o"
"2021/08/17 12:28:12 PM EET","No","Si","3","1","0","0","1","2","2","0","0","1","2","Viaggio","Meno di 10.000 Km","1","20.000€ - 30.000€","Privata","200Km - 400Km","3","Colonnina Privata","Si","4","4","2","3","4","3","3","4","2","Umbria","Terni","Periferia Città","1","No","3","4","Si","5","4","18 - 25","Femmina","Studentessa/ente"
"2021/08/17 12:51:13 PM EET","Si","Si","2","2","0","0","2","0","1","0","1","0","3","Lavoro o Studio","Meno di 10.000 Km","1","Fino a 10.000€","","","","","","5","5","5","5","5","3","1","3","5","Umbria","Terni","Centro Città","1","No","4","4","Si","2","2","50 - 75","Femmina","Impiegata/o"
"2021/08/17 1:13:31 PM EET","Si","Si","1","1","0","0","0","1","0","1","0","0","2","Viaggio","Meno di 10.000 Km","1","20.000€ - 30.000€","","","","","","5","3","4","3","3","3","3","4","4","Umbria","Terni","Centro Città","1","No","2","4","Si","5","1","50 - 75","Femmina","Imprenditore / Libero Professionista"
"2021/08/17 1:23:03 PM EET","Si","Si","3","0","0","1","1","2","0","0","3","0","5","Svago","Tra 10.000 e 20.000 Km","2","10.000€ -  20.000€","","","","","","4","4","3","5","2","2","3","4","4","Umbria","Terni","Periferia Città","2","No","4","5","Si","3","4","18 - 25","Maschio","Studentessa/ente"
"2021/08/17 1:51:06 PM EET","Si","Si","2","1","0","0","0","2","0","2","0","0","5","Lavoro o Studio","Tra 10.000 e 20.000 Km","1","10.000€ -  20.000€","","","","","","5","5","5","5","5","2","3","4","4","Umbria","Perugia","Periferia Città","1","No","3","5","No","5","3","25 - 50","Femmina","Impiegata/o"
"2021/08/17 2:04:56 PM EET","Si","Si","2","1","0","0","0","2","1","0","0","0","2","Lavoro o Studio","Meno di 10.000 Km","1","10.000€ -  20.000€","","","","","","5","4","5","5","5","3","3","5","5","Umbria","Terni","Centro Città","1","No","3","5","No","3","1","25 - 50","Femmina","Impiegata/o"
"2021/08/17 2:41:37 PM EET","Si","Si","3","2","0","0","0","3","1","2","0","0","5","Lavoro o Studio","Più di 20.000 Km","1","20.000€ - 30.000€","","","","","","2","5","3","1","1","2","1","5","2","Umbria","Terni","Periferia Città","1","No","5","2","Si","5","3","50 - 75","Maschio","Imprenditore / Libero Professionista"
"2021/08/17 2:50:53 PM EET","Si","Si","3","1","0","0","1","2","1","2","0","0","4","Lavoro o Studio","Meno di 10.000 Km","1","10.000€ -  20.000€","","","","","","4","4","3","4","4","3","3","4","3","Umbria","Terni","Periferia Città","2","No","4","3","No","2","3","25 - 50","Femmina","Impiegata/o"
"2021/08/17 2:55:34 PM EET","Si","Si","2","2","0","0","1","1","1","1","0","0","5","Lavoro o Studio","Più di 20.000 Km","2","20.000€ - 30.000€","","","","","","5","5","5","5","5","4","1","5","5","Lazio","Viterbo","Centro Città","1","No","5","5","Si","3","5","50 - 75","Maschio","Imprenditore / Libero Professionista"
"2021/08/17 3:13:18 PM EET","Si","Si","Più di 3","0","1","2","1","0","1","3","0","0","5","Lavoro o Studio","Tra 10.000 e 20.000 Km","1","Fino a 10.000€","","","","","","3","5","2","3","5","1","3","5","5","Umbria","Terni","Fuori Città (frazioni o comuni limitrofi)","2","Si","4","4","Si","2","4","25 - 50","Femmina","Impiegata/o"
"2021/08/17 3:52:42 PM EET","Si","Si","2","0","0","0","1","1","2","0","0","0","3","Spostamenti generici (Es: supermercato, ecc..)","Meno di 10.000 Km","2","20.000€ - 30.000€","","","","","","5","3","4","5","5","4","4","4","4","Umbria","Terni","Centro Città","3","No","4","5","Si","5","2","50 - 75","Femmina","Casalinga/o"
"2021/08/17 3:55:56 PM EET","Si","Si","3","1","0","0","0","3","1","2","1","1","4","Spostamenti generici (Es: supermercato, ecc..)","Meno di 10.000 Km","2","Fino a 10.000€","Privata","Meno di 100 Km","1","Colonnina Privata","No","4","5","3","5","4","4","3","5","4","Emilia Romagna","Bologna","Periferia Città","3","No","4","5","Si","5","4","18 - 25","Maschio","Studentessa/ente"
"2021/08/17 4:00:36 PM EET","Si","Si","3","1","0","0","0","3","1","1","0","1","5","Lavoro o Studio","Più di 20.000 Km","4","Più di 30.000€","Privata","Più di 400Km","1","Colonnina Privata","No","5","3","5","5","3","1","4","5","5","Umbria","Terni","Centro Città","4","No","5","5","Si","5","2","50 - 75","Maschio","Imprenditore / Libero Professionista"
